#,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,OPS+,wRAA:공격공헌도 Woba scale은 1.15임,wRC:득점창출력,BB/K
19,김재환*,두산,140,614,516,137,30,82,113,91,154,6,0.317,0.266,0.373,0.494,0.867,0.378,3.9,122.9784909,47.30469565,127.9110302,0.590909091
20,홍창기,LG,135,507,408,114,5,87,39,83,87,11,0.342,0.279,0.411,0.417,0.828,0.383,3.86,135.2165072,41.2653913,107.8246936,0.954022989
21,라모스,LG,117,494,431,120,38,74,86,55,136,2,0.314,0.278,0.362,0.592,0.954,0.397,3.69,119.6692936,46.22121739,111.0738709,0.404411765
22,최주환,두산,140,574,509,156,16,63,88,47,66,2,0.32,0.306,0.366,0.473,0.839,0.366,3.63,120.6156602,38.2333913,113.5884988,0.712121212
23,나지완,KIA,137,556,468,136,17,73,92,64,114,0,0.347,0.291,0.392,0.444,0.836,0.377,3.45,129.062049,42.35269565,115.344751,0.561403509
24,오재일,두산,127,534,471,147,16,62,89,61,92,2,0.359,0.312,0.39,0.482,0.872,0.387,3.4,128.5225895,45.32034783,115.4242283,0.663043478
25,노진혁,NC,132,484,427,117,20,70,82,49,106,0,0.322,0.274,0.356,0.48,0.836,0.365,3.36,117.3542444,31.81773913,95.35758589,0.462264151
26,마차도,롯데,144,560,486,136,12,79,67,54,60,15,0.294,0.28,0.356,0.422,0.778,0.348,3.35,117.1754528,28.53565217,102.0528302,0.9
27,구자욱,삼성,118,510,446,137,15,70,78,51,91,19,0.355,0.307,0.385,0.478,0.863,0.381,3.28,126.868762,40.6226087,107.575753,0.56043956
28,허경민,두산,117,487,437,145,7,70,58,35,28,14,0.337,0.332,0.382,0.442,0.824,0.368,3.26,125.7728897,33.2853913,97.21908009,1.25
29,박건우,두산,129,551,487,148,14,103,70,42,65,8,0.323,0.304,0.369,0.472,0.841,0.371,3.23,121.5974758,39.09704348,111.4326955,0.646153846
30,배정대,KT,144,615,533,154,13,88,65,68,142,22,0.369,0.289,0.372,0.42,0.792,0.359,3.23,122.4220781,37.22086957,117.9584848,0.478873239
31,강민호,삼성,119,393,355,102,19,46,61,31,54,0,0.291,0.287,0.349,0.487,0.836,0.361,3.15,115.0777268,24.46852174,76.06182706,0.574074074
32,김상수,삼성,120,471,404,123,5,71,47,55,55,10,0.341,0.304,0.397,0.401,0.798,0.368,3.14,130.5709936,32.19182609,94.02502407,1
33,최재훈,한화,126,389,339,102,3,46,36,29,44,0,0.339,0.301,0.383,0.383,0.766,0.356,2.93,125.9193149,22.52817391,73.59635653,0.659090909
34,최원준,KIA,123,412,359,117,2,72,35,33,35,14,0.353,0.326,0.388,0.421,0.809,0.368,2.8,127.6779512,28.15930435,82.2469425,0.942857143
35,전준우,롯데,143,628,562,157,26,95,96,52,79,5,0.285,0.279,0.347,0.482,0.829,0.363,2.76,114.4057149,40.192,122.636264,0.658227848
36,한동희,롯데,135,531,461,128,17,62,67,57,97,0,0.317,0.278,0.361,0.436,0.797,0.357,2.74,118.8601064,31.21356522,100.9236037,0.587628866
37,박경수,KT,119,391,324,91,13,33,58,48,96,0,0.351,0.281,0.381,0.454,0.835,0.371,2.73,125.4815816,27.744,79.07474397,0.5
38,정훈,롯데,111,476,410,121,11,72,58,56,85,11,0.346,0.295,0.382,0.427,0.809,0.366,2.64,125.7266505,31.70573913,94.19534049,0.658823529
39,김선빈,KIA,85,351,303,100,1,42,37,40,43,1,0.375,0.33,0.406,0.403,0.809,0.373,2.55,133.5318535,25.51617391,71.59569088,0.930232558
40,이형종,LG,81,323,287,85,17,41,50,27,61,1,0.324,0.296,0.37,0.547,0.917,0.394,2.53,122.1569712,29.37895652,71.78261458,0.442622951
41,정수빈,두산,141,559,490,146,5,84,59,55,56,15,0.325,0.298,0.368,0.396,0.764,0.346,2.47,121.0348977,27.51252174,100.8984191,0.982142857
42,유강남,LG,137,478,429,112,16,51,75,32,84,1,0.29,0.261,0.33,0.415,0.745,0.331,2.31,108.6180898,17.29113043,80.04329314,0.380952381
43,서건창,Hero,135,595,484,134,5,79,52,91,58,24,0.299,0.277,0.39,0.386,0.776,0.359,2.3,128.2266586,36.01043478,114.1224365,1.568965517
44,장성우,KT,130,455,400,111,13,39,79,38,64,0,0.298,0.278,0.337,0.41,0.747,0.332,2.27,110.9007726,16.85478261,76.58748979,0.59375
45,김동엽,삼성,115,451,413,129,20,60,74,29,79,4,0.343,0.312,0.36,0.508,0.868,0.376,2.09,118.7537552,33.96226087,93.16984535,0.367088608
46,안치홍,롯데,124,460,412,118,8,49,54,35,47,14,0.306,0.286,0.351,0.413,0.764,0.343,2,115.5062122,21.44,81.82911055,0.744680851
47,권희동,NC,123,426,346,90,12,67,50,58,72,3,0.292,0.26,0.379,0.41,0.789,0.36,1.98,124.6893478,26.15269565,82.07826325,0.805555556
48,박동원,Hero,112,372,324,81,12,45,50,38,68,0,0.28,0.25,0.338,0.429,0.767,0.342,1.96,111.2876417,17.01495652,65.85136767,0.558823529
49,박준태,Hero,128,443,347,85,5,71,29,65,120,5,0.356,0.245,0.389,0.331,0.72,0.348,1.93,127.7288154,22.57373913,80.73107821,0.541666667
50,박해민,삼성,132,541,489,142,11,84,55,39,77,34,0.324,0.29,0.345,0.415,0.76,0.339,1.87,113.542581,23.33356522,94.35641046,0.506493506
51,김혜성,Hero,142,553,499,142,7,80,61,46,94,25,0.336,0.285,0.345,0.399,0.744,0.336,1.82,113.4932591,22.40852174,95.00673508,0.489361702
52,박세혁,두산,124,423,360,97,4,47,51,35,45,5,0.292,0.269,0.348,0.364,0.712,0.328,1.81,114.3702659,14.19808696,69.72981253,0.777777778
53,김재호,두산,120,458,402,116,2,48,39,45,45,6,0.317,0.289,0.362,0.346,0.708,0.329,1.71,118.9109705,15.77113043,75.89767964,1
54,이용규,한화,120,487,419,120,1,60,32,59,36,17,0.311,0.286,0.381,0.337,0.718,0.341,1.65,125.1209158,21.85147826,85.78516704,1.638888889
55,강진성,NC,121,432,395,122,12,53,70,20,46,9,0.322,0.309,0.352,0.463,0.815,0.359,1.61,115.9886423,26.1453913,82.85864296,0.434782609
56,살라디노,삼성,43,163,132,37,6,26,27,23,41,6,0.36,0.28,0.411,0.477,0.888,0.4,1.48,135.401464,15.67634783,37.07509787,0.56097561
59,한동민,SK,62,231,193,48,15,35,32,30,49,2,0.252,0.249,0.364,0.508,0.872,0.376,1.4,120.0669528,17.39530435,47.7211403,0.612244898
58,채은성,LG,109,464,416,122,15,59,88,32,69,0,0.316,0.293,0.351,0.452,0.803,0.353,1.4,115.6264341,25.66121739,86.57545065,0.463768116
57,조용호,KT,132,482,409,121,0,73,31,65,83,12,0.369,0.296,0.392,0.333,0.725,0.345,1.4,128.7198788,23.30365217,86.58093758,0.78313253
60,이명기,NC,136,540,477,146,2,82,45,50,78,12,0.359,0.306,0.374,0.369,0.743,0.344,1.28,122.9214636,25.63826087,96.52982543,0.641025641
61,이대호,롯데,144,611,542,158,20,67,110,53,68,1,0.297,0.292,0.354,0.452,0.806,0.349,1.27,116.6113324,31.66573913,111.8782316,0.779411765
62,오윤석,롯데,63,197,168,50,4,31,32,24,47,2,0.387,0.298,0.388,0.423,0.811,0.368,1.22,127.6841165,13.46452174,39.32681474,0.510638298
63,김준태,롯데,128,369,306,69,5,38,43,56,64,2,0.268,0.225,0.345,0.327,0.672,0.318,1.19,113.2713109,9.176869565,57.61943868,0.875
64,김호재,삼성,65,138,118,38,1,19,10,16,19,2,0.378,0.322,0.416,0.39,0.806,0.377,1.15,136.7747737,10.512,28.62873317,0.842105263
65,이지영,Hero,101,289,262,81,0,22,36,19,28,1,0.345,0.309,0.364,0.363,0.727,0.334,1.12,119.6199738,11.20817391,49.14828902,0.678571429
66,박병호,Hero,93,383,309,69,21,56,66,57,114,0,0.264,0.223,0.352,0.45,0.802,0.351,1.06,115.9485683,20.51547826,70.79597683,0.5
67,이병규,롯데,53,194,164,45,9,28,32,28,55,0,0.356,0.274,0.381,0.463,0.844,0.375,0.97,125.5093252,14.44034783,39.9087988,0.509090909
68,이원석,삼성,121,467,403,108,13,46,74,49,82,0,0.297,0.268,0.341,0.407,0.748,0.332,0.92,112.2047224,17.29930435,78.60737963,0.597560976
69,허정협,Hero,111,360,314,84,10,45,43,40,73,0,0.319,0.268,0.353,0.401,0.754,0.342,0.9,116.1258196,16.46608696,63.72713,0.547945205
70,채태인,SK,71,189,160,45,7,11,24,29,33,0,0.317,0.281,0.392,0.444,0.836,0.373,0.89,129.062049,13.73947826,38.55152586,0.878787879
71,정은원,한화,79,303,254,63,3,28,29,41,41,1,0.284,0.248,0.362,0.335,0.697,0.33,0.89,118.8770618,10.69721739,50.47526195,1
72,이창진,KIA,22,99,88,29,0,19,7,10,17,0,0.408,0.33,0.404,0.443,0.847,0.387,0.82,132.9985593,8.402086957,21.39887379,0.588235294
73,김형준,NC,44,82,72,22,3,12,11,10,21,0,0.396,0.306,0.39,0.444,0.834,0.375,0.75,128.4054502,6.103652174,16.86866753,0.476190476
74,반즈,한화,74,319,283,75,9,38,42,27,81,2,0.338,0.265,0.342,0.428,0.77,0.343,0.72,112.5977567,14.86817391,56.74670928,0.333333333
75,강태율,롯데,14,18,11,5,2,2,2,7,2,0,0.429,0.455,0.667,1,1.667,0.651,0.68,221.0583199,5.659826087,8.022878239,3.5
76,한승택,KIA,83,262,226,51,9,22,29,21,58,0,0.264,0.226,0.308,0.372,0.68,0.307,0.67,101.2629504,4.00973913,38.40527601,0.362068966
77,김태군,NC,80,131,113,33,1,16,18,6,14,0,0.323,0.292,0.347,0.372,0.719,0.329,0.66,114.0666274,4.510956522,21.70872496,0.428571429
78,김강민,SK,122,327,289,73,12,39,45,27,62,7,0.281,0.253,0.323,0.422,0.745,0.327,0.62,106.3415723,10.69147826,53.62025902,0.435483871
79,황대인,KIA,63,138,116,32,4,14,16,21,29,0,0.333,0.276,0.384,0.414,0.798,0.363,0.57,126.3431753,8.832,26.94873317,0.724137931
